"index","Job Title","Company Name","Company Star Rating","Company Location","Required Skills","URL"
23,Business Intelligence Analyst,Bounteous,4.0,Canada,"SQL, Tableau, Power BI, Excel",https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&cs=1_c5c2bb63&cb=1647444132251&jobListingId=1007666958733&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-0e67ed002a7081df-
24,"Advisory, Acceleration Centre, Business Analyst (Remote)",PwC,3.9,Canada,"Excel, Microsoft office, PowerPoint",https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&cs=1_0fcaf3a9&cb=1647444132253&jobListingId=1007601827087&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-672d16fe7c2ab8f9-
25,Business Intelligence Analyst,MCAP,4.4,Toronto,"SQL, Tableau, Power BI, Excel, PowerPoint",https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&cs=1_975b6cb8&cb=1647444132253&jobListingId=1007628300935&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-88dedc5e8e6208c7-
27,Senior Business Intelligence Analyst,Instacart,3.8,Toronto,SQL,https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_97f8aed2&cb=1647444132252&jobListingId=1007601934513&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-0bed222c70ec195d-
28,Business Intelligence Analyst - MP&A,Arc'teryx,3.5,North Vancouver,"Excel, MS office, PowerPoint",https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&cs=1_2c1977cb&cb=1647444132253&jobListingId=1007685410095&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-7d03a28429817625-
29,Business Intelligence Analyst I,Finning International Inc.,3.7,Edmonton,"SQL, Tableau",https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&cs=1_86e056ad&cb=1647444132253&jobListingId=1007669018787&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-cbf8c7bef7e2578e-
30,Business Data Analyst,Arrow Workforce Solutions,3.8,Midtown Toronto,"SQL, Tableau, Excel, VB, VBA",https://www.glassdoor.com/partner/jobListing.htm?pos=307&ao=1110586&s=58&guid=0000017f9353cbd3a94720c5bad6aa61&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_bc68f60b&cb=1647444217180&jobListingId=1007714443823&cpc=9908D8D4413DBB8A&jrtk=3-0-1fu9l7j0j2sk3001-1fu9l7j14u1h8800-184ad2378d0add79--6NYlbfkN0DQEyUxVGi2vzA1Mdra2c-UxEj6_0wgALEHb-hI3JqJA__QiktrMKvas-Q5w6FqYy1VgTsTX59ZjUqekL4-pUm9EFe8KjJBKnbqWY438hUQU2w-qI3FERPqpyukztXQlaAPe8dy4ADB7Gja_KctfyVQQDzV2udZA0hefA25h9c5kXRPERumCx2pi990G0yWJSlvNn_oMIDfaBuyznuJNkTdp06TLx0X6bMmgZukL1kgU4_Jjvsd1H_BMorTSAhTVFal1k6AjMtRjlMTdo3IBKbbI5-Od0vN439sq0KdfAuYgyQAJCizZ4ZjCnSeRMHdmfkI2qlGpnZDbPhkG00-SSvniougD3yQspCET6566FjgJwR5O1q1EEiULChynJF7QjzITb0s88hH9DaF_NeBzsTKQUm6Bild6-Txy6uPmQnzwdRuucaoZTKJVCnF577HP_wZASlZ_aD_4IxhIwx5vGFt6GuCuQCyLvD_s20jHMD1n2pRgvBf9zbBoPe_G7RWJHI%3D
31,Business Analytics Analyst,Martin-Brower of Canada,3.5,Mississauga,"Python, SQL, Power BI, Excel, Scala",https://www.glassdoor.com/partner/jobListing.htm?pos=305&ao=1110586&s=58&guid=0000017f9353cbd3a94720c5bad6aa61&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a52a03f8&cb=1647444217179&jobListingId=1007652547554&cpc=9908D8D4413DBB8A&jrtk=3-0-1fu9l7j0j2sk3001-1fu9l7j14u1h8800-8ddea4dc4f5a477d--6NYlbfkN0AZmBbTU_CmMckH1ZwQ8c2QU2Yh71olx3bvq5i6WyfmWRC_ETcgIxakTuzhyp0AEB1uVZdW8UtEMWGfQmN-vs4cUVLg3qOYxo8iSoLzgXHv62mOKv3y0_v10hXKn1AXmLfVLFua8zZ5JFrj8MNMkH-Fi4MK12ViJeFKRnVnWrUacBuG8Jv69wTftGo1xLtVUO5ApPPUXmUqvs77QT7VJcf2ycUS2VaOcp2SezCYFiC2UQlyxhFZ-3hW5iG_0LprMCT3PNwmJO3o-bFQ_JI3s-J-HwLMlg6A1PUr0UCXFKsTJrimVt7YOCCloLEN7F0qOlE_KcROOvY5edC85FxGxsdgDrK7xUli7YddMncr0eteEu5m3_-l8soZDSbiaMFXfXunbiInabKjiL1HW5DBlAe8xolDspakYGo49Z2APX_a6jpcW8nQ9JzRrg16K0kCKTVFmgZXrx5y3VN96JaX8dLq4i9b_hdhBVYbTuJNP5PP6VXuroKKIw62gOlsCEORJY0%3D
32,Business Intelligence Analyst,DRMG,4.3,Oakville,"Python, SQL, Tableau, Power BI, Excel, R, VB, VBA, Hadoop",https://www.glassdoor.com/partner/jobListing.htm?pos=303&ao=1110586&s=58&guid=0000017f9353cbd3a94720c5bad6aa61&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ee2557af&cb=1647444217179&jobListingId=1007690372986&cpc=D2F1DE17EE1F43B9&jrtk=3-0-1fu9l7j0j2sk3001-1fu9l7j14u1h8800-ecfd9b8d59b7af66--6NYlbfkN0CyZI976EpF_TOAE2Qsk2gPpkIL-F-EkPXDR_xbA6xiUlRB5NwamhBMRkwZkQbFHulPj8qEB0HwOpGnPPs0h2DtbrcKj-iRgi2jZpcKqlpDqhQ3rb2pB3StMWu66dF9rIt7go_9qw6mWQhulc368n_8bTaSnem39z-OcLRBhTibPy0Tg_81jU_TxR9oX53AIh8XZrIcSFj-HJJtdsPnMGb8zidfE2Vk6TtIHy4inRcLJBXhy1mimAjCHPLleRHuvJjoYE0YMpcIWjK4SJOn80sSABMnT3hCA6X5m2_bbqEIQnFLCvApdPsuauM686O1FYs27RQPHpMnFy88pjc58p5SmqYllfZ0WNMhsmDidHSJcenWTHkXyd5lsfwJcrfDl1cwy3txntbDGE7vl13MIUf5Y1KP2k--EkinILjiQzaFmBbcYNM7MAKyhxyLytZocs0KxnnP25ovNaBU0sT30dEbl5bp22XEcR9ShXb1xeTlI9tQz32bLYbakDFVpwjGPRI%3D
33,Business Analyst,Integrated Financial Technologies,,Canada,"SQL, Tableau, Excel, PowerPoint",https://www.glassdoor.com/partner/jobListing.htm?pos=504&ao=1110586&s=58&guid=0000017f935532cbb7f43bed2002545d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_66237896&cb=1647444309035&jobListingId=1007708886134&cpc=8795CF9063CD573D&jrtk=3-0-1fu9lacnou3h7801-1fu9laco7n54i800-ccbbc7485c501983--6NYlbfkN0BUxcoIeydBXgh5yLQF9_1X5DwW0mfS3_77oC49hTgTIq8PCq8dN9l17iITXpGW2tRSVkDC0gkzhxwPTr087ClNq6liqEP8ZFgtDQZzvCc1QuATvekreBPSiRA7HsNcukKKjQKCPfu0iOCy74nlKwdSlrr4SF-H_qpBS4_mEAxgK48WlZRQMcF-n2IP-epsBou0RnyINt1PAfYaQ3j8wwEr1k6qBFLTKwYWc8t9OYd71tWve3QS1YPyGw0vF_B0YvNHb7P7mL08axoQa6M_nNclpXi18AlSumBBZ7JojzjrtO2tuSen90nKLVoQEUlDhgbS9vqRoq2nDJabtciPhdzWA9twZXfmU7QtE-Ao0TmBI8tGLUshw7M7x6wQKWnR7CR_4VfDc4XFJ4ib6uyoS8SBo9dVaYL2gGcD1TkcwoHGeF80PtdQKlxcDCJNVonqAPD97QI42xwFoU3pZOZIuY9ajt9Qg9HvkCiNZdb-nTXHX-NUzMg4Em4c
35,"Commercial Intelligence Analyst (12 month contract) Toronto, Canada Commercial",Philip Morris International,4.0,Toronto,Excel,https://www.glassdoor.com/partner/jobListing.htm?pos=801&ao=1110586&s=58&guid=0000017f935ad00eac24ac40cf7747bc&src=GD_JOB_AD&t=SR&vt=w&cs=1_08d790c6&cb=1647444677001&jobListingId=1007717714102&cpc=F0D43F17ED76B3A9&jrtk=3-0-1fu9llk1o3oc3001-1fu9llk26mlve800-e9ebf94c215063ac--6NYlbfkN0BnkMl5Y20CAA47RJOofCgMionB4_93fVFNiixcl77Ts1VfREmK2SwvmF84NYth3Xmm9dmt9rIaSEEjHDcRX6c9qZ2v70RoK-uXCcsqqndaxL-R6lQNz89sDtyjuHp3jMdlPX4oE3Yphmie8fE5rNJpG4IAhbfZdkJRTR8jRooaFypsMSFGnnEpmcflmUhWzu9NSaWY_i28w3-8MdF2v_2Rn6KR7ebO0qnuz2dvHYY2hys-R8EpOWObRwxemgotG3rB5wxfAqML8iKQODVCWzgaa7t6XDfgiuLJaisgE2zdwLpfKtVOG-S-iNIRup6JCeweDozEzElBcSBJiJH1VyhBWl_UW58byygqKaLRajtQlWv1gakxmgio7pHX7Uj0rVKiCd2zR6srKp4_SoCFMOdouyq-LG5TbXrfxvjRSkOt_AwRNRSDBt07qO4hOa0jv3bbzdaSTiybkxf1YzFgdVjuYYxrySoj8gmGk5qHtFMyWonkHWFXs1HSrxVm-BdcuX6-UI_HzNnVEHWgJUbcobIeULtJAt1rJTPdqS-hkXNNayBa2zgmj2FQ7fOpWlemIdHH-_csZmMMpA%3D%3D
